"sample_id"	"class"
"1"	"bl_N1"	"Normal"
"2"	"bl_N2"	"Normal"
"3"	"bl_N3"	"Normal"
"4"	"bl_N4"	"Normal"
"5"	"bl_N5"	"Normal"
"6"	"bl_N6"	"Normal"
"7"	"bl_N7"	"Normal"
"8"	"bl_N8"	"Normal"
"9"	"bl_N9"	"Normal"
"10"	"bl_N10"	"Normal"
"11"	"bl_N11"	"Normal"
"12"	"bl_N12"	"Normal"
"13"	"bl_N13"	"Normal"
"14"	"bl_N14"	"Normal"
"15"	"bl_N15"	"Normal"
"16"	"bl_N16"	"Normal"
"17"	"bl_N17"	"Normal"
"18"	"bl_N18"	"Normal"
"19"	"bl_N19"	"Normal"
"20"	"bl_N20"	"Normal"
"21"	"bl_N21"	"Normal"
"22"	"bl_N22"	"Normal"
"23"	"bl_N23"	"Normal"
"24"	"bl_N24"	"Normal"
"25"	"bl_N25"	"Normal"
"26"	"bl_N26"	"Normal"
"27"	"bl_N27"	"Normal"
"28"	"bl_N28"	"Normal"
"29"	"bl_N29"	"Normal"
"30"	"bl_N30"	"Normal"
"31"	"bl_N31"	"Normal"
"32"	"bl_N32"	"Normal"
"33"	"bl_N33"	"Normal"
"34"	"bl_N34"	"Normal"
"35"	"bl_N35"	"Normal"
"36"	"bl_N36"	"Normal"
"37"	"bl_N37"	"Normal"
"38"	"bl_N38"	"Normal"
"39"	"bl_N39"	"Normal"
"40"	"bl_N40"	"Normal"
"41"	"bl_N41"	"Normal"
"42"	"bl_N42"	"Normal"
"43"	"bl_N43"	"Normal"
"44"	"bl_N44"	"Normal"
"45"	"bl_N45"	"Normal"
"46"	"bl_N46"	"Normal"
"47"	"bl_N47"	"Normal"
"48"	"bl_N48"	"Normal"
"49"	"bl_N49"	"Normal"
"50"	"bl_N50"	"Normal"
"51"	"bl_N51"	"Normal"
"52"	"bl_N52"	"Normal"
"53"	"bl_N53"	"Normal"
"54"	"bl_N54"	"Normal"
"55"	"bl_N55"	"Normal"
"56"	"bl_N56"	"Normal"
"57"	"bl_N57"	"Normal"
"58"	"bl_N58"	"Normal"
"59"	"bl_N59"	"Normal"
"60"	"bl_N60"	"Normal"
"61"	"bl_N61"	"Normal"
"62"	"bl_N62"	"Normal"
"63"	"bl_N63"	"Normal"
"64"	"bl_N64"	"Normal"
"65"	"bl_N65"	"Normal"
"66"	"bl_N66"	"Normal"
"67"	"bl_N67"	"Normal"
"68"	"bl_N68"	"Normal"
"69"	"bl_N69"	"Normal"
"70"	"bl_N70"	"Normal"
"71"	"bl_N71"	"Normal"
"72"	"bl_N72"	"Normal"
"73"	"bl_N73"	"Normal"
"74"	"bl_N74"	"Normal"
"75"	"bl_N75"	"Normal"
"76"	"bl_N76"	"Normal"
"77"	"bl_N77"	"Normal"
"78"	"bl_N78"	"Normal"
"79"	"bl_N79"	"Normal"
"80"	"bl_N80"	"Normal"
"81"	"bl_N81"	"Normal"
"82"	"bl_N82"	"Normal"
"83"	"bl_N83"	"Normal"
"84"	"bl_N84"	"Normal"
"85"	"bl_CRC1"	"CRC"
"86"	"bl_CRC2"	"CRC"
"87"	"bl_CRC3"	"CRC"
"88"	"bl_CRC4"	"CRC"
"89"	"bl_CRC5"	"CRC"
"90"	"bl_CRC6"	"CRC"
"91"	"bl_CRC7"	"CRC"
"92"	"bl_CRC8"	"CRC"
"93"	"bl_CRC9"	"CRC"
"94"	"bl_CRC10"	"CRC"
