"sample_id"	"class"
"1"	"Ti_N1"	"Normal"
"2"	"Ti_N2"	"Normal"
"3"	"Ti_N3"	"Normal"
"4"	"Ti_N4"	"Normal"
"5"	"Ti_N5"	"Normal"
"6"	"Ti_N6"	"Normal"
"7"	"Ti_N7"	"Normal"
"8"	"Ti_N8"	"Normal"
"9"	"Ti_N9"	"Normal"
"10"	"Ti_N10"	"Normal"
"11"	"Ti_N11"	"Normal"
"12"	"Ti_N12"	"Normal"
"13"	"Ti_N13"	"Normal"
"14"	"Ti_N14"	"Normal"
"15"	"Ti_N15"	"Normal"
"16"	"Ti_N16"	"Normal"
"17"	"Ti_N17"	"Normal"
"18"	"Ti_N18"	"Normal"
"19"	"Ti_N19"	"Normal"
"20"	"Ti_N20"	"Normal"
"21"	"Ti_N21"	"Normal"
"22"	"Ti_N22"	"Normal"
"23"	"Ti_N23"	"Normal"
"24"	"Ti_T1"	"CRC"
"25"	"Ti_T2"	"CRC"
"26"	"Ti_T3"	"CRC"
"27"	"Ti_T4"	"CRC"
"28"	"Ti_T5"	"CRC"
"29"	"Ti_T6"	"CRC"
"30"	"Ti_T7"	"CRC"
"31"	"Ti_T8"	"CRC"
"32"	"Ti_T9"	"CRC"
"33"	"Ti_T10"	"CRC"
"34"	"Ti_T11"	"CRC"
"35"	"Ti_T12"	"CRC"
"36"	"Ti_T13"	"CRC"
"37"	"Ti_T14"	"CRC"
"38"	"Ti_T15"	"CRC"
"39"	"Ti_T16"	"CRC"
"40"	"Ti_T17"	"CRC"
"41"	"Ti_T18"	"CRC"
"42"	"Ti_T19"	"CRC"
"43"	"Ti_T20"	"CRC"
"44"	"Ti_T21"	"CRC"
"45"	"Ti_T22"	"CRC"
"46"	"Ti_T23"	"CRC"
